driver_name,car_number,team_name,manufacturer,season_year,race_number,race_pos,quali_pos,stage_1_pos,stage_2_pos,stage_3_pos,laps_led,status,season_points,finish_position_points,stage_points,playoff_points
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,6,10,21,0,6,0,0,running,32,27,5,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,6,11,18,0,0,0,0,running,26,26,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,6,12,24,0,0,0,0,running,25,25,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,6,13,27,0,0,0,0,running,24,24,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,6,14,26,0,0,0,0,running,23,23,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,6,15,9,6,0,0,0,running,27,22,5,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,6,16,29,0,0,0,0,running,21,21,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,6,17,19,9,7,0,0,running,26,20,6,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,6,18,8,0,1,0,3,running,29,19,10,1
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,6,19,25,0,5,0,0,running,24,18,6,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,6,20,33,0,0,0,0,running,17,17,0,0
Chris Buescher,17,RFK Racing,Ford,2022,6,21,22,0,0,0,0,running,16,16,0,0
Josh Bilicki,77,Spire Motorsports,Chevrolet,2022,6,22,34,0,0,0,0,running,0,15,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,6,23,3,0,0,0,0,running,14,14,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,6,24,2,1,0,0,15,running,23,13,10,1
Kaz Grala,50,23XI Racing,Chevrolet,2022,6,25,31,0,0,0,0,running,0,12,0,0
Boris Said,66,Power Source,Ford,2022,6,26,37,0,0,0,0,running,11,11,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,6,27,35,0,0,0,0,running,10,10,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,6,28,15,0,2,0,0,running,18,9,9,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,6,29,13,5,0,0,0,running,14,8,6,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,6,30,14,8,0,0,2,running,10,7,3,0
Joey Logano,22,Team Penske,Ford,2022,6,31,6,4,3,0,2,running,21,6,15,0
