driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Chase Briscoe,13,24,20,10,30,18.0,-15,74,89,15,20.3,0,70,23.9,0.0,0.0,293,56.0,2022,12
Denny Hamlin,22,5,21,1,28,10.0,7,82,75,33,40.2,7,221,75.7,42.0,14.4,292,83.7,2022,12
Landon Cassill,33,30,22,6,35,29.0,-1,69,70,3,4.3,0,3,1.0,0.0,0.0,292,37.3,2022,12
J.J. Yeley,32,35,23,1,36,32.0,-3,9,12,0,0.0,0,2,0.7,1.0,0.3,288,34.3,2022,12
Martin Truex Jr,4,1,24,1,25,6.0,-2,53,55,25,47.2,12,255,97.0,28.0,10.6,263,99.1,2022,12
Erik Jones,11,10,25,1,22,10.0,-6,58,64,40,69.0,6,258,98.5,1.0,0.4,262,83.7,2022,12
Cole Custer,28,29,26,2,29,23.0,-3,95,98,16,16.8,2,25,9.6,0.0,0.0,260,46.0,2022,12
Bubba Wallace,17,7,27,3,26,13.0,7,81,74,42,51.9,5,230,88.5,0.0,0.0,260,74.3,2022,12
Kurt Busch,6,14,28,3,35,18.0,21,100,79,36,36.0,19,139,53.5,0.0,0.0,260,66.1,2022,12
Alex Bowman,15,23,29,12,32,20.0,-10,82,92,13,15.9,0,41,16.1,0.0,0.0,255,52.5,2022,12
Ross Chastain,8,3,30,1,20,12.0,10,41,31,24,58.5,27,193,99.5,26.0,13.4,194,103.8,2022,12
Daniel Hemric,24,20,31,19,35,30.0,-3,55,58,0,0.0,1,0,0.0,0.0,0.0,188,36.0,2022,12
B.J. McLeod,36,34,32,11,36,33.0,2,17,15,0,0.0,0,1,0.5,0.0,0.0,184,26.0,2022,12
Kyle Busch,5,6,33,1,14,16.0,-5,25,30,19,76.0,15,167,100.0,19.0,11.4,167,93.7,2022,12
Brad Keselowski,23,26,34,11,36,32.0,4,52,48,3,5.8,1,2,1.2,0.0,0.0,166,31.6,2022,12
Corey LaJoie,30,32,35,7,33,31.0,-9,69,78,4,5.8,0,4,2.6,0.0,0.0,152,34.5,2022,12
Kyle Larson,2,36,36,1,36,26.0,-10,29,39,11,37.9,18,80,71.4,30.0,26.8,112,64.9,2022,12
