driver_name,season_year,race_number,race_season_points,wins,stage_wins,race_playoff_points,race_finish_points,race_stage_points
Chris Buescher,2022,10,1,0,0,0,1,0
Tyler Reddick,2022,10,1,0,0,0,1,0
Chase Elliott,2022,11,50,1,0,5,40,10
Ricky Stenhouse Jr,2022,11,41,0,0,0,35,6
Ross Chastain,2022,11,46,0,0,0,34,12
Christopher Bell,2022,11,41,0,0,0,33,8
Alex Bowman,2022,11,40,0,0,0,32,8
Kyle Larson,2022,11,36,0,0,0,31,5
Kyle Busch,2022,11,41,0,0,0,30,11
Chris Buescher,2022,11,34,0,0,0,29,5
Kevin Harvick,2022,11,28,0,0,0,28,0
Erik Jones,2022,11,31,0,0,0,27,4
Justin Haley,2022,11,26,0,0,0,26,0
Martin Truex Jr,2022,11,38,0,0,0,25,13
Chase Briscoe,2022,11,24,0,0,0,24,0
Daniel Suarez,2022,11,23,0,0,0,23,0
Cole Custer,2022,11,22,0,0,0,22,0
Bubba Wallace,2022,11,21,0,0,0,21,0
Michael McDowell,2022,11,20,0,0,0,20,0
Corey LaJoie,2022,11,19,0,0,0,19,0
Aric Almirola,2022,11,18,0,0,0,18,0
Brad Keselowski,2022,11,18,0,0,0,17,1
Denny Hamlin,2022,11,26,0,1,1,16,10
William Byron,2022,11,19,0,0,0,15,4
Austin Dillon,2022,11,14,0,0,0,14,0
Harrison Burton,2022,11,16,0,0,0,13,3
Ryan Preece,2022,11,0,0,0,0,12,0
Ryan Blaney,2022,11,21,0,1,1,11,10
Ty Dillon,2022,11,10,0,0,0,10,0
Todd Gilliland,2022,11,9,0,0,0,9,0
Joey Logano,2022,11,8,0,0,0,8,0
Tyler Reddick,2022,11,7,0,0,0,7,0
Kurt Busch,2022,11,6,0,0,0,6,0
Josh Bilicki,2022,11,0,0,0,0,5,0
A.J. Allmendinger,2022,11,0,0,0,0,4,0
Cody Ware,2022,11,3,0,0,0,3,0
B.J. McLeod,2022,11,2,0,0,0,2,0
Austin Cindric,2022,11,1,0,0,0,1,0
Joey Logano,2022,12,58,1,1,6,40,18
Tyler Reddick,2022,12,37,0,0,0,35,2
Justin Haley,2022,12,34,0,0,0,34,0
Kevin Harvick,2022,12,33,0,0,0,33,0
Chase Elliott,2022,12,35,0,0,0,32,3
Christopher Bell,2022,12,43,0,0,0,31,12
Michael McDowell,2022,12,30,0,0,0,30,0
Ricky Stenhouse Jr,2022,12,29,0,0,0,29,0
Austin Dillon,2022,12,28,0,0,0,28,0
Daniel Suarez,2022,12,28,0,0,0,27,1
Aric Almirola,2022,12,28,0,0,0,26,2
Ty Dillon,2022,12,25,0,0,0,25,0
William Byron,2022,12,35,0,0,0,24,11
Harrison Burton,2022,12,23,0,0,0,23,0
Todd Gilliland,2022,12,22,0,0,0,22,0
Chris Buescher,2022,12,21,0,0,0,21,0
Ryan Blaney,2022,12,20,0,0,0,20,0
Austin Cindric,2022,12,19,0,0,0,19,0
Cody Ware,2022,12,18,0,0,0,18,0
Chase Briscoe,2022,12,17,0,0,0,17,0
Denny Hamlin,2022,12,27,0,0,0,16,11
Landon Cassill,2022,12,0,0,0,0,15,0
J.J. Yeley,2022,12,0,0,0,0,14,0
Martin Truex Jr,2022,12,28,0,0,0,13,15
Erik Jones,2022,12,20,0,0,0,12,8
Cole Custer,2022,12,11,0,0,0,11,0
Bubba Wallace,2022,12,11,0,0,0,10,1
Kurt Busch,2022,12,9,0,0,0,9,0
Alex Bowman,2022,12,8,0,0,0,8,0
Ross Chastain,2022,12,26,0,1,1,7,19
Daniel Hemric,2022,12,0,0,0,0,6,0
B.J. McLeod,2022,12,5,0,0,0,5,0
Kyle Busch,2022,12,11,0,0,0,4,7
Brad Keselowski,2022,12,3,0,0,0,3,0
